Reading,Timestamp,,ObjectTemp_C
1709,17310783,,43.30999
1710,17320840,,43.77001
1711,17330907,,43.63
1712,17340968,,43.42999
1713,17351020,,43.30999
1714,17361449,,43.11001
1715,17371664,,43.42999
1716,17381732,,43.02999
1717,17391791,,43.36999
1718,17401839,,43.30999
1719,17411887,,43.18999
1720,17421939,,43.42999
1721,17432001,,43.67001
1722,17442216,,43.30999
1723,17452289,,43.30999
1724,17462336,,43.29
1725,17472650,,43.30999
1726,17482743,,43.63
1727,17492802,,43.29
1728,17502863,,43.27001
1729,17512917,,43.68999
1730,17523315,,43.51
1731,17533388,,43.42999
1732,17543446,,43.58999
1733,17553720,,43.41
1734,17563800,,43.29
1735,17574002,,43.33001
1736,17584051,,43.20998
1737,17594115,,43.17001
1738,17604438,,43.23
1739,17614861,,43.42999
1740,17624917,,43.33001
1741,17634978,,43.29
1742,17645028,,43.42999
1743,17655078,,43.27001
1744,17665134,,43.13
1745,17675184,,43.23
1746,17685251,,43.46999
1747,17695305,,43.61001
1748,17705360,,43.46999
1749,17715451,,43.36999
1750,17725709,,43.46999
1751,17735768,,43.41
1752,17746061,,43.30999
1753,17756862,,43.27001
1754,17766928,,43.27001
1755,17776993,,43.23
1756,17787074,,43.01
1757,17797140,,43.18999
1758,17807201,,43.18999
1759,17819144,,43.36999
1760,17829197,,43.58999
1761,17839268,,43.39001
1762,17849326,,43.23
1763,17859474,,43.33001
1764,17869530,,43.27001
1765,17879615,,43.27001
1766,17890417,,43.11001
1767,17900493,,43.18999
1768,17910698,,43.17001
1769,17920770,,43.30999
1770,17930833,,43.33001
1771,17941116,,43.49001
1772,17951165,,43.23
1773,17961215,,43.33001
1774,17971271,,43.23
1775,17981486,,43.51
1776,17991538,,43.57
1777,18001586,,43.42999
1778,18011641,,43.27001
1779,18021893,,43.18999
1780,18031952,,43.33001
1781,18042019,,43.42999
1782,18052079,,43.41
1783,18062135,,43.46999
1784,18072186,,43.42999
1785,18082256,,43.51
1786,18092312,,43.42999
1787,18102428,,43.42999
1788,18112869,,43.30999
1789,18123274,,43.46999
1790,18133326,,43.33001
1791,18143393,,43.33001
1792,18153451,,43.20998
1793,18163854,,43.58999
1794,18174273,,43.42999
1795,18184361,,43.30999
1796,18194546,,43.46999
1797,18204625,,43.46999
1798,18214828,,43.33001
1799,18224908,,43.30999
1800,18235122,,43.20998
1801,18245179,,43.42999
1802,18255226,,43.30999
1803,18265288,,43.33001
1804,18275354,,43.27001
1805,18285414,,43.30999
1806,18295495,,43.17001
1807,18305545,,43.30999
1808,18315601,,43.51
1809,18325670,,43.11001
1810,18335864,,43.46999
1811,18345942,,43.46999
1812,18356771,,43.20998
1813,18367195,,43.39001
1814,18377250,,43.27001
1815,18387296,,43.18999
1816,18397352,,43.39001
1817,18407400,,43.33001
1818,18417449,,43.29
1819,18427503,,43.46999
1820,18437559,,43.41
1821,18447608,,43.36999
1822,18457666,,43.29
1823,18467717,,43.29
1824,18477822,,43.36999
1825,18487872,,43.51
1826,18497929,,43.52999
1827,18508537,,43.41
1828,18518990,,43.52999
